######################################################################################################################
######################################################################################################################
#René Kiefer and Anne-Marie Broomhall
#They Do Change After All: 25 Years of GONG Data Reveal Variation of p-Mode Energy Supply Rates
#
#Online-only table with mode inertiae and energy supply rates of all multiplets
#that are present in at least 50% of the GONG samples.
#
######################################################################################################################
######################################################################################################################
#Col 1: Radial order
#Col 2: Harmonic degree
#Col 3: Mode frequency from model S in muHz
#Col 4: Number of GONG months in which mode is present
#Col 5: Mode inertia at GONG observation height calculated with Eq.(3)
#Col 6: Mode inertia at photospheric radius calculated with Eq.(3)
#Col 7: Mode mass scaling Q at GONG observation height calculated with Eq.(4)
#Col 8: Mode mass scaling Q at photospheric radius calculated with Eq.(4)
#Col 9-14: Energy supply rate in 10**22 erg s^-1 at GONG observation height without scaling by Q
#	  9-10: Variance-weighted average over all available time sample and its uncertainty
#	  11-12: Variance-weighted average over the periods of activity minima and its uncertainty
#	  13-14: Variance-weighted average over the periods of activity maxima and its uncertainty
#Col 15-20: Energy supply rate in 10**22 erg s^-1 at GONG observation height with scaling by Q
#Col 21-26: Energy supply rate in 10**22 erg s^-1 at photospheric radius without scaling by Q
#Col 27-32: Energy supply rate in 10**22 erg s^-1 at photospheric radius with scaling by Q
######################################################################################################################
######################################################################################################################
#Python code snippet to read this table:
# import pandas as pd
# table_path = 'your_path_to_table/erate_table_multiplets_online.dat'
# dEdt_multiplets = pd.read_table(table_path, skiprows=34, delim_whitespace=True, header=None)
######################################################################################################################
######################################################################################################################

 11   3 1865.256 223 6.563226412e-09 7.641119568e-09    0.996    0.996   0.26318   0.00257   0.26388   0.00562   0.26759   0.00688   0.26218   0.00256   0.26287   0.00560   0.26656   0.00685   0.30641   0.00299   0.30722   0.00654   0.31153   0.00801   0.30520   0.00298   0.30601   0.00652   0.31031   0.00798
 12   3 2001.098 245 3.997754645e-09 4.767055600e-09    0.998    0.998   0.40120   0.00249   0.40745   0.00495   0.44447   0.00611   0.40047   0.00248   0.40671   0.00494   0.44366   0.00609   0.47840   0.00296   0.48586   0.00591   0.53000   0.00728   0.47755   0.00296   0.48499   0.00589   0.52905   0.00727
 13   3 2137.840 249 2.534644435e-09 3.102392760e-09    0.992    0.992   0.60377   0.00303   0.63922   0.00559   0.60680   0.00687   0.59873   0.00301   0.63387   0.00555   0.60173   0.00681   0.73902   0.00371   0.78240   0.00685   0.74272   0.00841   0.73285   0.00368   0.77586   0.00679   0.73652   0.00834
 14   3 2273.705 250 1.665229386e-09 2.096230491e-09    0.997    0.997   1.19452   0.00372   1.21363   0.00728   1.17300   0.00940   1.19106   0.00371   1.21012   0.00726   1.16960   0.00938   1.50369   0.00468   1.52775   0.00917   1.47660   0.01184   1.49934   0.00467   1.52333   0.00914   1.47233   0.01180
 15   3 2408.425 250 1.152365959e-09 1.494774921e-09    0.995    0.995   1.65765   0.00531   1.67421   0.01018   1.62371   0.01255   1.65016   0.00528   1.66665   0.01014   1.61637   0.01250   2.15020   0.00688   2.17167   0.01321   2.10617   0.01628   2.14040   0.00685   2.16177   0.01315   2.09657   0.01621
 16   3 2543.124 243 8.678892426e-10 1.162644232e-09    0.993    0.993   2.38033   0.00783   2.40542   0.01573   2.32100   0.01874   2.36380   0.00777   2.38872   0.01562   2.30489   0.01861   3.18874   0.01049   3.22235   0.02108   3.10927   0.02511   3.16664   0.01041   3.20002   0.02093   3.08772   0.02493
 17   3 2678.144 245 7.006256142e-10 9.717016630e-10    0.998    0.998   3.10172   0.00983   3.08512   0.01888   2.94041   0.02272   3.09481   0.00981   3.07825   0.01883   2.93386   0.02267   4.30179   0.01364   4.27877   0.02618   4.07807   0.03151   4.29214   0.01361   4.26917   0.02612   4.06892   0.03144
 18   3 2814.170 242 5.818128951e-10 8.377494939e-10    0.994    0.994   4.60669   0.01236   4.77679   0.02416   4.65155   0.03053   4.57721   0.01228   4.74622   0.02400   4.62179   0.03033   6.63315   0.01780   6.87807   0.03479   6.69774   0.04395   6.59070   0.01769   6.83406   0.03456   6.65488   0.04367
 19   3 2950.653 247 4.932846875e-10 7.395280305e-10    0.995    0.995   6.41304   0.01721   6.29955   0.03340   6.22779   0.04167   6.38193   0.01712   6.26899   0.03324   6.19757   0.04147   9.61438   0.02580   9.44423   0.05008   9.33664   0.06248   9.56803   0.02567   9.39870   0.04984   9.29163   0.06218
 20   3 3086.991 249 4.255971163e-10 6.662443348e-10    0.997    0.997   7.50284   0.01690   7.46570   0.03327   7.62720   0.03707   7.47881   0.01685   7.44179   0.03316   7.60277   0.03695  11.74520   0.02646  11.68706   0.05208  11.93988   0.05803  11.70728   0.02637  11.64933   0.05191  11.90133   0.05784
 21   3 3223.708 251 3.759934952e-10 6.166201245e-10    0.994    0.994   9.27070   0.02015   9.11150   0.04070   9.23778   0.05047   9.21137   0.02002   9.05319   0.04044   9.17866   0.05015  15.20372   0.03304  14.94264   0.06675  15.14974   0.08277  15.10651   0.03283  14.84710   0.06633  15.05287   0.08224
 22   3 3360.616 251 3.414215556e-10 5.886429412e-10    0.997    0.997   9.71100   0.02226   9.64108   0.04234   9.52969   0.05116   9.68313   0.02219   9.61341   0.04222   9.50234   0.05101  16.74269   0.03837  16.62213   0.07301  16.43009   0.08821  16.69478   0.03826  16.57456   0.07280  16.38307   0.08795
 23   3 3497.916 250 3.136543401e-10 5.707396515e-10    0.996    0.996  10.69294   0.03050  10.61279   0.05859  10.52477   0.07190  10.64577   0.03037  10.56597   0.05833  10.47834   0.07158  19.45736   0.05551  19.31151   0.10662  19.15135   0.13082  19.37096   0.05526  19.22576   0.10614  19.06630   0.13024
 24   3 3635.715 150 2.910003035e-10 5.613229878e-10    0.995    0.995  12.10723   0.09475  12.45940   0.19655  11.57417   0.21580  12.04898   0.09430  12.39945   0.19560  11.51848   0.21477  23.35416   0.18277  24.03347   0.37913  22.32591   0.41627  23.24260   0.18190  23.91866   0.37732  22.21926   0.41428
 10   4 1778.022 213 9.426668551e-09 1.081862952e-08    0.988    0.988   0.19962   0.00162   0.20341   0.00322   0.20631   0.00367   0.19726   0.00160   0.20100   0.00318   0.20387   0.00363   0.22910   0.00186   0.23344   0.00369   0.23678   0.00421   0.22641   0.00183   0.23070   0.00365   0.23400   0.00416
 11   4 1914.718 250 5.392382717e-09 6.331534585e-09    0.991    0.991   0.29348   0.00181   0.29641   0.00337   0.29341   0.00385   0.29077   0.00179   0.29367   0.00334   0.29070   0.00381   0.34459   0.00213   0.34803   0.00396   0.34452   0.00452   0.34137   0.00211   0.34478   0.00392   0.34130   0.00447
 12   4 2051.547 251 3.364842849e-09 4.050255124e-09    0.995    0.995   0.42986   0.00215   0.44554   0.00415   0.44360   0.00495   0.42766   0.00214   0.44325   0.00413   0.44133   0.00492   0.51743   0.00259   0.53629   0.00500   0.53396   0.00596   0.51477   0.00257   0.53355   0.00497   0.53122   0.00593
 13   4 2188.415 251 2.148289458e-09 2.656454336e-09    0.988    0.988   0.63275   0.00306   0.70379   0.00626   0.62429   0.00779   0.62524   0.00302   0.69544   0.00619   0.61688   0.00770   0.78243   0.00378   0.87027   0.00774   0.77196   0.00963   0.77315   0.00374   0.85995   0.00765   0.76281   0.00952
 14   4 2324.623 251 1.429926057e-09 1.820075727e-09    0.993    0.993   1.05812   0.00431   1.10696   0.00845   1.05910   0.01035   1.05039   0.00428   1.09887   0.00839   1.05136   0.01027   1.34683   0.00549   1.40899   0.01075   1.34807   0.01317   1.33700   0.00545   1.39871   0.01067   1.33823   0.01307
